IATA_airport_code;Airport_lat;Airport_lon
REL;-43.2105;-65.270319
CTD;7.98784;-80.4097
APN;45.0781;-83.5603
AFL;-9.866092;-56.106206
ALF;69.976111;23.371667
LTI;46.3764;96.2211
ATM;-3.253906;-52.253978
AOC;50.981817;12.506361
AOO;40.296372;-78.320022
LTS;34.667067;-99.266681
ALU;11.95;50.733
NSK;69.311053;87.332183
ASJ;28.430633;129.712542
KDL;59.260286;24.208467
WAI;-14.89875;47.993894
IVA;-13.65;48.467
WAM;-17.8;48.433
AMB;-13.188431;48.987978
MZI;14.512803;-4.079561
ASV;-2.64505;37.2531
JIB;11.5472;43.1594
COR;-31.323619;-64.207953
AMV;69.7633;61.5564
SID;16.741389;-22.949444
GOY;7.337081;81.625881
SAY;43.256286;11.255036
ATQ;31.709594;74.797264
AAA;-17.352606;-145.509956
AAO;9.430225;-64.470725
YAA;52.4525;-125.303
HVA;-14.629694;47.763783
SDN;61.83;6.10583
ANS;-13.706408;-73.350378
ZWA;-14.651667;49.620556
UAM;13.583953;144.930025
AND;34.494583;-82.709389
AZN;40.7277;72.294
ANX;69.2925;16.144167
PYR;37.920708;21.292583
ADW;38.810806;-76.867028
AUY;-20.2492;169.771
OUD;34.78715;-1.923986
TGZ;16.561822;-93.026081
MVD;-34.789208;-56.264703
LFK;31.234014;-94.75
ANE;47.5603;-0.312222
HLY;53.2481;-4.53534
BIQ;43.468419;-1.523325
ANI;61.5816;-159.543
AWD;-19.24;169.605
AKA;32.7081;108.931
JVA;-18.8;45.283
AAE;36.822225;7.809167
QNJ;46.191972;6.268386
ANN;55.042436;-131.572233
ANB;33.588167;-85.858111
AYT;36.898731;30.800461
SJI;10.766044;121.933439
OES;-40.7512;-65.0343
CUM;10.450333;-64.130472
SCU;19.969769;-75.835414
PSO;1.396247;-77.291478
WAQ;-18.7;44.617
ANM;-14.999411;50.320233
AOJ;40.734722;140.690833
AOT;45.7385;7.36872
APO;7.033;-77.2
APK;-15.5736;-146.415
ATW;44.257526;-88.507576
AQJ;29.611619;35.018067
ARU;-21.141342;-50.424722
ARW;46.17655;21.262022
RAE;30.906589;41.138217
AQA;-21.812;-48.133028
GPA;38.151111;21.425556
AMH;6.039389;37.590453
ACV;40.978111;-124.108611
ADU;38.3257;48.4244
OBS;44.544236;4.372192
ADM;34.300833;-97.008889
GYL;-16.6369;128.451
KSO;40.446294;21.282186
BYH;35.964347;-89.943956
ARN;59.651944;17.918611
ARM;-30.528056;151.617222
GRX;37.133222;-3.635694
SBK;48.537777;-2.854445
YYW;50.290279;-88.909721
LME;47.948611;0.201667
LBE;40.2759;-79.4048
ZCA;51.483333;7.899333
MOL;62.744722;7.2625
DIE;-12.3494;49.291747
X21;28.622552;-80.83541
ATC;24.6294;-75.6738
SCL;-33.392975;-70.785803
VLN;10.149733;-67.9284
RUA;3.05;30.917
ARK;-3.367794;36.633333
AXR;-15.248289;-146.616708
AVK;46.2503;102.802
YEK;61.094166;-94.070833
AJR;65.590278;19.281944
AKJ;43.670833;142.4475
AVL;35.436194;-82.541806
ASB;37.986814;58.360967
ASM;15.291853;38.910667
ASO;10.01855;34.586253
ASA;13.071783;42.645006
TSE;51.022222;71.466944
ASF;46.283333;48.006278
OVD;43.563567;-6.034622
JTY;36.579886;26.375822
ASW;23.964356;32.819975
ATZ;27.0465;31.012
AXK;14.551322;46.826183
ATR;20.506828;-13.043194
IST;40.976922;28.814606
ATB;17.7;33.967
AHN;33.9486;-83.3263
YIB;48.773888;-91.638611
AIU;-19.9678;-158.119
ACY;39.457583;-74.577167
YAT;52.9275;-82.4319
GUW;47.121944;51.821389
AKL;-37.008056;174.791667
AGB;48.425158;10.931764
AGS;33.369944;-81.9645
AUG;44.320647;-69.797317
NAT;-5.911417;-35.247717
AKS;-8.70257;160.682
YPJ;59.2967;-69.5997
AUL;8.14528;171.173
IXU;19.862728;75.398114
BBU;44.503194;26.102111
AUR;44.891388;2.421944
AUU;-13.3539;141.721
AUS;30.194528;-97.669889
GRB;44.485072;-88.129589
CFE;45.786661;3.169169
AVV;-38.039444;144.469444
WMR;-16.1639;49.773753
CPC;-40.075383;-71.137294
AVB;46.031889;12.596472
AXU;14.14675;38.772833
AYQ;-25.186111;130.975556
MBU;-9.7475;159.839
ROR;7.367303;134.544278
IEG;52.138517;15.798556
BXB;-2.532242;133.438894
BFH;-25.405078;-49.232036
BCM;46.521946;26.910278
BCO;5.78287;36.562
BCD;10.642511;122.929617
FKB;48.467;8.043
BDD;-10.15;141.175
BFX;5.536919;10.354583
NYU;21.173833266;94.9246666
BPE;24;96
IXB;26.681206;88.328567
SDA;33.262539;44.234578
YBG;48.330555;-70.996391
BAG;16.375103;120.619636
BHV;29.3481;71.718
BFQ;7.583;-78.2
HUX;15.775317;-96.262572
BJR;11.608075;37.321644
BAH;26.270834;50.63361
YBC;49.1325;-68.204444
LZH;24.2075;109.391
BBR;16.0133;-61.7422
VMU;-7.49686;144.82
HET;40.8514;111.824
CAN;23.392436;113.298786
BJH;29.53896;81.185364
BKM;3.974;115.618
BXE;14.847256;-12.468264
YBK;64.298889;-96.077778
BWO;51.8583;47.7456
CEK;55.305836;61.503333
MLH;47.589583;7.529914
DPS;-8.748169;115.167172
KRK;50.077731;19.784836
EDO;39.5546;27.0138
BZI;39.619258;27.925958
OPU;-8.05;142.933
BAS;-6.967;155.883
BNK;-28.833889;153.5625
BBA;-45.916058;-71.689475
BWI;39.175361;-76.668333
BXR;29.0842;58.45
ABM;-10.950833;142.459444
BPC;6.039239;10.122639
OUI;20.2573;100.437
LKL;70.068814;24.973489
BND;27.218317;56.37785
BDH;26.532;54.824847
CMB;7.180756;79.884117
NWA;-12.298108;43.7664
BDM;40.317972;27.977694
FDU;-3.311319;17.381683
BLR;12.949986;77.668206
BGR;44.807444;-68.828139
BGF;4.398475;18.518786
BNX;44.9414;17.2975
BJL;13.337961;-16.652206
BMO;24.269;97.2462
BNP;32.9729;70.5279
SZX;22.639258;113.810664
BAV;40.56;109.997
MGN;9.284739;-74.846092
MAD;40.493556;-3.566764
BEJ;2.1555;117.432
QYR;48.322136;4.016703
BCI;-23.5653;145.307
BCN;41.297078;2.078464
BDU;69.055758;18.540356
BRI;41.138856;16.760594
BNS;8.619575;-70.220825
BBN;3.73389;115.479
BZL;22.801;90.3012
BKH;22.022833;-159.785
PAH;37.0602875;-88.7729583
BAD;32.50182;-93.662674
BAX;53.363775;83.538533
HYA;41.669336;-70.280356
BRM;10.042747;-69.358619
BRR;57.0228;-7.44306
BCL;10.7687;-83.5856
BTI;70.133989;-143.581867
CAW;-21.698333;-41.301669
HLJ;56.070556;23.558056
KRZ;-1.435;19.024
BSU;1.22472;19.7889
BSO;20.4513;121.98
SSZ;-23.925206;-46.2875
BSR;30.549069;47.662142
MEK;33.879067;-5.515125
LTK;35.401094;35.948681
PGX;45.198055;0.815556
BSG;1.905469;9.805681
AZI;24.428333;54.458084
BHS;-33.4094;149.652
ZBF;47.6297;-65.7389
BAL;37.928969;41.116583
BLJ;35.7521;6.30859
BTR;30.533167;-91.149639
BJF;70.600278;29.6925
BBM;13.0956;103.224
BUS;41.610278;41.599694
BDE;48.728444;-94.612222
BAU;-22.345042;-49.0538
BBJ;51.193531;14.519747
BYN;46.1633;100.704
BYU;49.984428;11.638569
BAB;39.136089;-121.436567
XBE;53.9656;-91.0272
NBC;32.477411;-80.723161
DRI;30.831722;-93.339917
BEU;-24.3461;139.46
BEI;9.38639;34.5219
MZW;26.224153;120.00275
BHY;21.5394;109.294
BHN;14.781972;45.720083
NAY;39.9608;116.257
BEW;-19.796419;34.907556
BLG;2.65;113.767
BMY;-19.7206;163.661
IXG;15.859286;74.618292
EGO;50.6438;36.5901
BEP;15.162783;76.882775
LIG;45.862778;1.179444
BLI;48.792694;-122.537528
BMD;-19.6867;44.5419
BJI;47.510722;-94.934722
TLV;32.011389;34.886667
BEB;57.481111;-7.362778
BUG;-12.609025;13.403711
BNI;6.316981;5.599503
BEN;32.096786;20.269472
NVA;2.95015;-75.294
BEG;44.818444;20.309139
BBO;10.389167;44.941106
BBT;4.221583;15.786369
BGY;45.673889;9.704166
BVG;70.866667;29
BJO;-22.773336;-64.312881
BDA;32.364042;-64.678703
BRN;46.9141;7.497153
BTM;45.954806;-112.497472
BPY;-16.741945;44.481388
OGZ;43.2051;44.6066
BET;60.779778;-161.838
BTT;66.913944;-151.529056
BWA;27.505703;83.41625
BHR;27.6781;84.4294
BHU;21.752206;72.185181
VIY;-32.89715;27.279111
BHP;27.14743;87.050819
BHO;23.287467;77.337375
BBI;20.244364;85.817781
BHJ;23.287828;69.670147
PIS;46.587745;0.306666
BYS;35.280531;-116.630031
7AK;59.361247;-155.258822
YTL;53.8178;-89.8969
BQH;51.330833;0.0325
BIF;31.849528;-106.380039
PAB;21.9884;82.110983
BIO;43.301097;-2.910608
BIL;45.80921;-108.537654
BLL;55.740322;9.151778
ZBL;-24.4;150.51666
NSB;25.767;-79.25
GNS;1.166381;97.704681
TSN;39.124353;117.346183
BTU;3.12385;113.020472
BIR;26.481453;87.264036
BVI;-25.8975;139.348
XBJ;32.898056;59.266111
BHM;33.562942;-86.75355
BHX;52.453856;-1.748028
IXR;23.31425;85.321675
DUG;31.469028;-109.603667
BHH;19.98435;42.620881
FNT;42.965424;-83.743629
BSK;34.793289;5.738231
BIS;46.775842;-100.757931
BXO;11.89485;-15.653681
BMM;2.075639;11.493195
ZUN;35.083228;-108.791778
BKQ;-24.427778;145.428611
BBS;51.323889;-0.8475
BLK;53.771667;-3.028611
BLT;-23.6031;148.807
TLS;43.629075;1.363819
BFN;-29.092722;26.302444
LEX;38.0365;-84.605889
BEF;11.990961;-83.774086
BLH;33.619167;-114.716889
KBS;7.9444;-11.761
BVB;2.846311;-60.690069
BUR;34.200667;-118.358667
CEW;30.778833;-86.522111
BOY;11.160056;-4.330969
BCT;26.3785;-80.107694
BOC;9.340853;-82.250842
PMO;38.110833;13.313333
BOO;67.269167;14.365278
BJV;37.82;28.204
BFI;47.53;-122.301947
GIC;-9.23278;142.218
BOI;43.564361;-116.222861
BJB;37.493;57.3082
BUI;-3.58365;138.533
ADD;8.977889;38.799319
BLQ;44.535444;11.288667
PEE;57.914517;56.021214
BZO;46.460194;11.326383
LAZ;-13.262086;-43.408114
BOA;-5.854;13.064
TRW;1.381636;173.147036
HRO;36.261519;-93.154728
BXX;9.933;43.15
BOB;-16.444378;-151.751286
BMW;21.375;0.923889
HBE;30.917669;29.696408
BMK;53.5955;6.709167
BLE;60.422017;15.515211
RNN;55.063267;14.759558
KBP;50.345;30.894722
BSA;11.2753;49.1494
OCJ;18.404247;-76.969017
TID;35.341136;1.463147
BYK;7.7388;-5.073667
BQL;-22.9133;139.9
BOU;47.058056;2.370278
BRK;-30.0392;145.952
BOH;50.78;-1.8425
EBU;45.540554;4.296389
HQM;46.9711944;-123.9365556
LOU;38.228;-85.663722
BWK;43.285719;16.679719
BFD;41.8031;-78.6401
BDL;41.938889;-72.683222
BSF;19.760056;-155.553717
BGC;41.8578;-6.707125
AUF;47.850193;3.497111
YBR;49.91;-99.951944
BTK;56.370556;101.698331
BWE;52.319167;10.556111
BRE;53.0475;8.786667
BRV;53.507081;8.572878
MEN;44.502108;3.532819
ORE;47.987778;1.760556
ANG;45.729247;0.221456
BNE;-27.384167;153.1175
FZO;51.519444;-2.590833
BRS;51.382669;-2.719089
BZZ;51.749964;-1.583617
BHQ;-32.0014;141.472
BMA;59.354372;17.94165
LYN;45.727172;4.944275
BNN;65.461111;12.2175
BKX;44.3048;-96.8169
BME;-17.8;122.2
BRO;25.906833;-97.425861
BWN;4.9442;114.928353
BQK;31.2588;-81.4665
BRU;50.901389;4.484444
CRL;50.459197;4.453817
BZK;53.214194;34.176447
FRN;61.266381;-149.653119
LUW;-1.038919;122.771906
KWA;8.720122;167.731661
BKF;39.701668;-104.75166
YVT;55.841944;-108.4175
BUF;42.940525;-78.732167
BFO;-21.008083;31.57855
UUA;54.64;52.8017
BJM;-3.324019;29.318519
BUA;-5.42232;154.673
BKY;-2.308978;28.808803
BHK;39.775;64.483333
BKZ;-1.3;31.8
BDB;-24.903889;152.318611
BUX;1.565719;30.220833
BMV;12.6683;108.12
BUO;9.517;45.567
BOJ;42.569583;27.515236
RGS;42.3575;-3.613611
BFV;15.229539;103.253231
BUC;-17.7486;139.534
BTV;44.471861;-73.153278
YDB;61.371111;-139.040556
BUZ;28.944811;50.834637
USU;12.121458;120.100031
YKZ;43.862221;-79.37
FCS;38.678394;-104.756581
BXU;8.951322;125.477972
BZG;53.0968;17.9777
BKA;55.617222;38.059999
CBH;31.6457;-2.26986
VSA;17.997;-92.817361
MKC;39.1275;-94.598889
CAH;9.188049;105.174721
LHC;-3.91686;-70.5082
CAB;-5.596992;12.188353
TNO;10.3557;-85.8529
TPP;-6.508742;-76.373247
COO;6.357228;2.384353
CGY;8.415619;124.611219
CNS;-16.885833;145.755278
CAI;30.121944;31.405556
CBQ;4.976019;8.347197
CQF;50.962097;1.954764
CYP;12.0727;124.545
CLV;-17.7267;-48.6114
CXL;32.669502;-115.51333
YYC;51.113888;-114.020278
CCJ;11.136839;75.9553
CXR;11.9982;109.219
YCB;69.108055;-105.138333
CBG;52.205;0.175
CDU;-34.040278;150.687222
CGM;9.25352;124.707
CUC;7.927567;-72.511547
LOH;-3.99589;-79.3719
ATT;30.31666;-97.7666
HOP;36.668567;-87.496183
YBL;49.950832;-125.270833
CAL;55.4372;-5.68639
AJA;41.923637;8.802917
CXJ;-29.197064;-51.187536
QPS;-21.984561;-47.334764
CGR;-20.468667;-54.6725
YXC;49.612222;-115.781944
CAJ;6.231989;-62.854433
ZOS;-40.611208;-73.061042
CBR;-35.306944;149.195
CUN;21.036528;-86.877083
DCF;15.336719;-61.392211
CVS;34.382775;-103.322147
CIW;12.699042;-61.342431
CIS;-2.768122;-171.710394
PCL;-8.377939;-74.574297
CAP;19.732989;-72.194739
CHX;9.458636;-82.516806
CSK;12.4102;-16.746125
YTE;64.23;-76.526667
CGI;37.2253;-89.5708
LUR;68.875133;-166.110022
WWD;39.008507;-74.908275
EHM;58.646428;-162.062778
CZF;61.780297;-166.038747
CPT;-33.964806;18.601667
LAN;42.7787;-84.587357
PEK;40.080111;116.584556
TRU;-8.081411;-79.108761
PIU;-5.20575;-80.616444
TYL;-4.576639;-81.254139
POI;-19.543069;-65.723706
TJA;-21.555736;-64.701325
SRJ;-14.8592;-66.7375
RIB;-11;-66
GYA;-10.8206;-65.3456
NAP;40.886033;14.290781
CIX;-6.787475;-79.828097
PLP;8.40667;-78.1417
CYW;20.546;-100.887
CSB;45.42;22.253333
CRQ;-17.652283;-39.253069
DNZ;37.785567;29.701297
CWL;51.396667;-3.343333
CAR;46.8715;-68.017917
CAX;54.9375;-2.809167
PUQ;-53.002642;-70.854586
BYM;20.396331;-76.621494
CVQ;-24.8806;113.672
CLN;-7.320444;-47.458667
CFR;49.173333;-0.45
CCP;-36.77265;-73.063106
TUN;36.851033;10.227217
YRF;53.6828;-57.0419
LRM;18.450711;-68.911833
BDS;40.657633;17.947033
CAC;-25.000339;-53.500764
PYH;5.619992;-67.606103
MER;37.380481;-120.568189
YCG;49.296389;-117.6325
HPH;20.8194;106.725
YAC;51.7272;-91.8244
TCE;45.062486;28.714311
CTC;-28.593214;-65.750925
CTA;37.466781;15.0664
IGR;-25.737281;-54.473444
IGU;-25.59615;-54.487206
CRM;12.5024;124.636
CBT;-12.4792;13.4869
LQM;-0.18;-74.77
AVN;43.9073;4.901831
CNM;32.337472;-104.263278
CUK;17.7347;-88.0325
CCC;22.5132;-78.511
CDC;37.700967;-113.098847
CID;41.884694;-91.710806
CED;-32.1306;133.71
ZCN;52.5912;10.022133
APA;39.570129;-104.849294
BMI;40.477111;-88.915917
GRI;40.9675;-98.3096
CWA;44.772726;-89.646635
RTW;51.334366;46.022952
ANF;-23.444478;-70.4451
JCU;35.8969;-5.29908
XBK;46.20089;5.292028
VAF;44.921594;4.9699
ARI;-18.348531;-70.338742
CHH;-6.201806;-77.856064
ATF;-1.212067;-78.574636
ZBR;25.44335;60.382114
WCH;-42.932808;-72.699114
ISB;33.616653;73.099233
RHE;49.31;4.05
CMI;40.03925;-88.278056
XCD;46.826108;4.817633
IXC;30.673469;76.788542
BDP;26.5708;88.0796
KHN;28.865;115.9
CGQ;43.5412;125.1201
CGD;28.9189;111.64
FOC;25.935064;119.663272
CIH;36.2475;113.126
CZX;31.941667;119.711667
LEC;-12.4823;-41.277
YMT;49.7719;-74.5281
XAP;-27.134219;-52.656553
YLD;47.82;-83.346667
CDG;49.012779;2.55
CHS;32.898647;-80.040528
CTL;-26.413334;146.2625
YCL;47.990833;-66.330278
CLT;35.214;-80.943139
CHO;38.138639;-78.452861
YYG;46.290001;-63.121111
VHY;46.169689;3.403736
QNX;46.295103;4.795767
CNG;45.658333;-0.3175
CHT;-43.81;-176.457222
HRJ;28;83.833
CSY;56.0903;47.3473
GEO;6.498553;-58.254119
TEE;35.431611;8.120717
MAA;12.994414;80.180517
CJJ;36.7166;127.499
CEE;59.2736;38.0158
AHU;35.177103;-3.839525
CWC;48.2593;25.9808
TVC;44.741445;-85.582235
NKT;34.900872;-76.880733
CYX;68.7406;161.338
VOZ;51.814211;39.229589
YCS;63.3469;-90.7311
CTM;18.504667;-88.326847
VAK;61.5338;-165.584
YHR;50.4689;-59.6367
CYS;41.155722;-104.811839
BOM;19.088686;72.867919
CNX;18.766847;98.962644
CEI;19.952342;99.882928
CYI;23.461779;120.39283
MDW;41.785972;-87.752417
ORD;41.978603;-87.904842
RFD;42.1953611;-89.0972222
CIC;39.795383;-121.858422
CIF;42.235;118.908
CDS;34.433781;-100.287992
CCH;-46.583341;-71.687405
BLZ;-15.679053;34.974014
YCW;49.152779;-121.93889
CMU;-6.02429;144.971
VPY;-19.1513;33.429
TRR;8.538514;81.181853
NID;35.685422;-117.692039
ULN;47.843056;106.766639
N/A;-11.8333;34.1667
JKH;38.343175;26.140572
CIP;-13.5583;32.5872
CIU;46.2508;-84.4724
EAU;44.8658;-91.4843
YKU;53.8056;-78.9169
HIB;47.3866;-92.838994
KIV;46.927744;28.930978
SPK;42.794475;141.666447
CJL;35.8866;71.8006
CKH;70.6231;147.902
YZR;42.999444;-82.308889
CHC;-43.489358;172.532225
XCH;-10.450556;105.690278
CXI;1.986161;-157.349778
VCL;15.405944;108.705889
CCZ;25.417108;-77.88085
NGO;34.858414;136.805408
CNN;56.9139;124.914
CJM;10.7112;99.361706
ZUM;53.5619;-64.1064
YYQ;58.739167;-94.065
TKK;7.461869;151.843006
CIA;41.799361;12.594936
STI;19.406092;-70.604689
ICI;-17.7433;-179.342
IGL;38.513022;27.010053
LUK;39.103333;-84.418611
CVG;39.048836;-84.667822
YTZ;43.627499;-79.396167
COS;38.805805;-104.700778
BHD;54.618056;-5.8725
LCY;51.505278;0.055278
CBL;8.121898;-63.537353
CUA;25.0538;-111.615
CME;18.653739;-91.799017
CEN;27.392639;-109.833111
CQM;38.983334;-3.916667
AGT;-25.4555;-54.843592
Z84;64.301203;-149.120144
CLE;41.411689;-81.849794
CNJ;-20.6686;140.504
CVN;34.425139;-103.079278
CMK;-14.3069;35.1325
CLJ;46.785167;23.686167
YCY;70.486111;-68.516667
VCS;8.73183;106.633
CBV;15.468958;-90.406742
CAZ;-31.5383;145.794
COK;9.947386;76.273081
CNC;-10.05;143.07
CCK;-12.1883;96.8339
BBQ;17.6358;-61.8286
CUQ;-13.7608;143.114
CFS;-30.320556;153.116389
CJB;11.030031;77.043383
CDB;55.206061;-162.725436
YOD;54.404999;-110.279444
DET;42.409195;-83.009861
CLQ;19.277011;-103.577397
QKL;50.9;7.183
RML;6.821994;79.886208
CRI;22.7456;-74.1824
CAE;33.938833;-81.119528
COU;38.818094;-92.219631
CBM;33.643833;-88.443833
CSG;32.5163333;-84.9388611
YCK;67.0333;-126.083
BHI;-38.724967;-62.169317
ATA;-9.347444;-77.598392
BGX;-31.390528;-54.112244
DSE;11.0825;39.7114
COC;-31.296944;-57.996631
CRD;-45.785347;-67.465508
YQQ;49.710833;-124.886667
CKY;9.576889;-13.611961
CDJ;-8.348347;-49.301528
CON;43.20267;-71.50233
WSD;32.341484;-106.40277
COX;24.1587;-77.5898
CGH;-23.626692;-46.655375
QCY;53.093014;-0.166014
NOC;53.910297;-8.818492
OTD;8.62876;-79.0347
CPD;-29.04;134.721
COH;26.330508;89.467203
CTN;-15.4447;145.184
OOM;-36.3006;148.974
CNB;-30.9833;148.376
CPO;-27;-70
ODB;37.842006;-4.848878
ORK;51.841269;-8.491111
POX;49.096647;2.040833
YCT;52.075001;-111.445278
TCQ;-18.053333;-70.275833
XMS;-2.299167;-78.12075
AYP;-13.154819;-74.204417
IQT;-3.784739;-73.308806
CRP;27.770361;-97.501222
CNQ;-27.445503;-58.761864
CEZ;37.303;-108.628056
CMG;-19.011931;-57.673053
CVU;39.6715;-31.1136
CEB;7.165242;124.209619
CBO;7.165242;124.209619
NCE;43.658411;7.215872
OTR;8.601556;-82.968614
COT;28.456694;-99.220294
CFD;30.715694;-96.331361
CVT;52.369722;-1.479722
CXB;21.452194;91.963889
CZM;20.522403;-86.925644
CCV;-16.265;167.924
SEM;32.343947;-86.987803
CRA;44.318139;23.888611
EWN;35.072972;-77.042944
INS;36.587183;-115.673353
CSF;49.253547;2.519139
JCA;43.536;7.03736
CRV;38.997225;17.080169
TAB;11.149658;-60.832194
CZS;-7.599906;-72.769489
CDP;14.509961;78.772833
CUL;24.764547;-107.474717
CMA;-28.03;145.622
CTB;48.608353;-112.376144
CGF;41.565124;-81.4863555
CYU;10.8581;121.069
STT;18.337306;-64.973361
SIQ;-0.479189;104.579283
DAX;31.3;107.5
TNT;25.861806;-80.897
TAE;35.894108;128.658856
VIL;23.7183;-15.932
DLM;36.713056;28.7925
DLZ;43.5917;104.43
DLI;11.75;108.367
DBA;28.8783;64.3998
DHT;36.022586;-102.547278
DLU;25.649444;100.319444
DFW;32.896828;-97.037997
DAL;32.847111;-96.851778
DJO;6.792808;-6.473189
NMB;20.434364;72.843206
DAM;33.410636;36.514267
DAD;16.043917;108.19937
MSN;43.139858;-89.337514
LIR;10.593289;-85.544408
TAC;11.227628;125.027758
NLF;-9.58333;143.767
DAU;-9.08676;143.208
DRW;-12.4083333;130.87266
DTD;0.717;116.483
DAT;40.0603;113.482
YDN;51.100834;-100.0525
DWH;30.063746;-95.554276
MKO;35.656489;-95.366656
DMA;32.166467;-110.883144
DWD;24.5;44.4
TVY;14.1039;98.2036
YDA;64.043056;-139.127778
YDQ;55.742333;-120.183
DYG;29.1028;110.443
DAB;29.179917;-81.058056
DHR;52.923353;4.780625
SCC;70.19475;-148.465167
LGI;23.179014;-75.093597
YDL;58.422222;-130.032222
DEB;47.488917;21.615333
DEC;39.834564;-88.865689
DCI;39.354222;8.972481
YVZ;52.6558;-94.0614
YDF;49.210833;-57.391388
DED;30.189689;78.180256
DEZ;35.285374;40.175961
PMV;10.912926;-63.967581
CEC;41.7802;-124.237
NTR;25.865572;-100.237239
DRT;29.374208;-100.927158
YWJ;65.1833333;-125.41666667
DEM;8.554;34.858
DEN;39.861656;-104.673178
CHR;46.862194;1.730667
PGK;-2.1622;106.139064
SSA;-12.910994;-38.331044
DEA;29.961;70.4859
DSK;31.9094;70.8966
DSM;41.533972;-93.663083
DES;-5.696697;53.655844
DTW;42.212444;-83.353389
ANR;51.189444;4.460278
IDR;22.721786;75.801086
DPO;-41.1697;146.43
DBO;23.834044;86.425261
DHI;28.753333;80.581944
RHO;36.405419;28.086192
MOH;27.483853;95.016922
IQQ;-20.535222;-70.181275
FAJ;18.308889;-65.661861
DIN;21.3975;103.008
DLG;59.044667;-158.5055
HDH;21.579475;-158.197281
DLY;-18.7694;169.001
DMU;25.8839;93.7711
AXD;40.855869;25.956264
ZTH;37.750853;20.88425
NIM;13.481547;2.183614
CRK;15.185833;120.560278
DPL;8.601261;123.334481
DIG;27.7936;99.6772
DIR;9.6247;41.854203
DIU;20.7131;70.9211
URC;43.907106;87.474244
DIY;37.893897;40.201019
DNK;48.357222;35.100556
MGE;33.915382;-84.516319
DDC;37.7634;-99.9656
DOD;-6.170436;35.752578
DOH;25.261125;51.565056
DOP;28.985718;82.819145
MCU;46.352525;2.570486
DME;55.408611;37.906111
