NormalisedCityPair;DepartureCode;ArrivalCode;Departure_lat;Departure_lon;Arrival_lat;Arrival_lon
Accra - Johannesburg;JNB;ACC;-26.1;28.23;5.6;-0.17
New York - Sao Paulo;GRU;JFK;-23.4;-46.48;40.64;-73.79
Cairo - Johannesburg;JNB;CAI;-26.1;28.23;30.05;31.25
Atlanta - New York;ATL;LGA;42.9;-83.53;40.77;-73.88
Athens - London;ATH;LHR;37.9;23.72;51.47;-0.45
Amsterdam - London;LCY;AMS;51.5;0.05;52.31;4.75
Hong Kong - New York;HKG;JFK;22.3;113.94;40.64;-73.79
London - Los Angeles;LAX;LHR;34.1;-118.24;51.47;-0.45
Dallas - London;DFW;LHR;32.9;-97.04;51.47;-0.45
Dubai - Johannesburg;JNB;DXB;-26.1;28.23;25.25;55.35
London - Paris;ORY;LCY;48.7;2.37;51.5;0.05
Dar Es Salaam - Mtwara;MYW;DAR;-10.3;40.18;-6.88;39.2
Frankfurt - London;FRA;LCY;50.1;8.56;51.5;0.05
Dar Es Salaam - Johannesburg;DAR;JNB;-6.9;39.2;-26.13;28.23
Mexico City - New York;MEX;JFK;19.4;-99.16;40.64;-73.79
Bombay - Singapore;SIN;BOM;1.3;103.98;19.09;72.86
Amsterdam - London;LHR;AMS;51.5;-0.45;52.31;4.75
Geneva - London;GVA;LHR;46.2;6.11;51.47;-0.45
Bombay - Newark;BOM;EWR;19.1;72.86;40.69;-74.18
New York - Toronto;LGA;YYZ;40.8;-73.88;43.68;-79.61
Johannesburg - New York;JFK;JNB;51.5;-0.45;-26.13;28.23
Beijing - London;LHR;PEK;51.5;-0.45;40.07;116.58
London - Tokyo;LHR;HND;51.5;-0.45;35.55;139.75
London - Madrid;LCY;MAD;51.5;0.05;40.46;-3.58
Hong Kong - Singapore;SIN;HKG;1.3;103.98;22.32;113.94
Copenhagen - London;CPH;LHR;55.6;12.64;51.47;-0.45
Dar Es Salaam - Mwanza;MWZ;DAR;-2.5;32.93;-6.88;39.2
London - Philadelphia;LHR;PHL;51.5;-0.45;45.05;-89.01
Lagos - London;LHR;LOS;51.5;-0.45;6.58;3.32
New York - Rio De Janeiro;GIG;JFK;-22.8;-43.24;40.64;-73.79
Bombay - Manchester;BOM;MAN;25.3;55.35;53.37;0.1
Minneapolis - New York;MSP;LGA;44.9;-93.2;40.77;-73.88
London - Sydney;SYD;LHR;-33.9;151.23;51.47;-0.45
Detroit - New York;LGA;DTW;40.8;-73.88;37.26;-107.75
Hamburg - London;HAM;LHR;53.6;10.01;51.47;-0.45
Bukoba - Mwanza;BKZ;MWZ;-1.3;31.81;-2.45;32.93
London - Toronto;LHR;YYZ;51.5;-0.45;43.68;-79.61
Bloemfontein - Johannesburg;BFN;JNB;-29.1;26.3;-26.13;28.23
London - San Diego;SAN;LHR;40.6;-73.79;51.47;-0.45
Hong Kong - Singapore;SIN;HKG;1.3;103.98;22.32;113.94
Hong Kong - London;LHR;HKG;51.5;-0.45;22.32;113.94
London - Zurich;LCY;ZRH;51.5;0.05;47.45;8.57
Dubai - Johannesburg;DXB;JNB;25.3;55.35;-26.13;28.23
Houston - London;IAH;LHR;30;-95.34;51.47;-0.45
Geneva - London;LCY;GVA;51.5;0.05;46.23;6.11
Houston - London;LHR;IAH;51.5;-0.45;29.98;-95.34
Johannesburg - Singapore;JNB;SIN;-26.1;28.23;1.34;103.98
Hong Kong - Seoul;ICN;HKG;37.5;126.66;22.32;113.94
Dubai - Manchester;MAN;DXB;53.4;0.1;25.25;55.35
Glasgow - London;GLA;LHR;55.9;-4.43;51.47;-0.45
Singapore - Tokyo;SIN;HND;1.3;103.98;35.55;139.75
Newark - San Francisco;EWR;SFO;40.7;-74.18;37.61;-122.39
Newark - Singapore;EWR;SIN;40.7;-74.18;1.34;103.98
Miami - New York;LGA;MIA;40.8;-73.88;33.4;-110.87
Singapore - Tokyo;NRT;SIN;35.8;140.39;1.34;103.98
Lisbon - Madrid;LIS;MAD;38.8;-9.13;40.46;-3.58
Dubai - London;LGW;DXB;51.2;-0.16;25.25;55.35
Bombay - Singapore;SIN;BOM;1.3;103.98;19.09;72.86
London - Rome;FCO;LHR;41.9;12.5;51.47;-0.45
Calgary - Newark;YYC;EWR;51.1;-114.01;40.69;-74.18
Johannesburg - Port Elizabeth;JNB;PLZ;-26.1;28.23;-33.98;25.61
Amsterdam - New York;JFK;AMS;40.6;-73.79;52.31;4.75
Johannesburg - New York;JNB;JFK;-26.1;28.23;40.64;-73.79
London - Munich;MUC;LHR;48.3;11.77;51.47;-0.45
Doha - Dubai;DOH;DXB;25.3;51.56;25.25;55.35
Cape Town - London;LHR;CPT;51.5;-0.45;-33.97;18.59
London - Milan;LCY;LIN;51.5;0.05;45.47;9.18
Chicago - London;LHR;ORD;51.5;-0.45;41.6;-98.93
Hong Kong - Singapore;SIN;HKG;1.3;103.98;22.32;113.94
Johannesburg - Mauritius;JNB;MRU;-26.1;28.23;-20.43;57.68
Jersey-channel Islands - London;LGW;JER;51.2;-0.16;49.21;-2.19
New York - Santiago;JFK;SCL;40.6;-73.79;-33.39;-70.79
Johannesburg - Lusaka;JNB;LUN;-26.1;28.23;-15.33;28.45
Johannesburg - Nairobi;NBO;JNB;-1.3;36.81;-26.13;28.23
Isle Of Man - London;IOM;LGW;54.1;-4.63;51.16;-0.16
Bombay - London;LHR;BOM;51.5;-0.45;19.09;72.86
London - Riyadh;LHR;RUH;51.5;-0.45;24.94;46.71
Las Vegas - New York;JFK;LAS;40.6;-73.79;32.02;-87.96
London - Oslo;LHR;OSL;51.5;-0.45;59.91;10.75
Madras - Manchester;MAN;MAA;25.3;55.35;13.05;80.23
Accra - Johannesburg;ACC;JNB;5.6;-0.17;-26.13;28.23
London - New York;JFK;LHR;40.6;-73.79;51.47;-0.45
Lisbon - Madrid;LIS;MAD;38.8;-9.13;40.46;-3.58
Dublin - London;DUB;LHR;53.3;-6.25;51.47;-0.45
Kiev-borispol - London;KBP;LHR;50.4;30.55;51.47;-0.45
London - Milan;LIN;LCY;45.5;9.18;51.5;0.05
London - Tokyo;LHR;NRT;51.5;-0.45;35.75;140.39
Rio De Janeiro - Sao Paulo;CGH;SDU;-23.6;-46.66;-22.91;-43.17
London - Luxembourg;LCY;LUX;51.5;0.05;49.63;6.21
Helsinki - London;LHR;HEL;51.5;-0.45;60.31;24.97
New York - Washington Dc;LGA;DCA;40.8;-73.88;38.85;-77.04
London - Melbourne;LHR;MEL;1.3;103.98;-37.67;144.85
London - Zurich;LHR;ZRH;51.5;-0.45;47.45;8.57
London - Singapore;SIN;LHR;1.3;103.98;51.47;-0.45
Geneva - London;LHR;GVA;51.5;-0.45;46.23;6.11
Frankfurt - New York;JFK;FRA;40.6;-73.79;50.05;8.56
Cairo - London;LHR;CAI;51.5;-0.45;30.05;31.25
Boston - London;BOS;LHR;42.2;-71;51.47;-0.45
Singapore - Tokyo;SIN;HND;1.3;103.98;35.55;139.75
Johannesburg - Maputo;JNB;MPM;-26.1;28.23;-25.92;32.57
Milan - Rome;LIN;FCO;45.5;9.18;41.9;12.5
London - Warsaw;LHR;WAW;51.5;-0.45;52.17;20.98
Dubai - Madras;MAA;DXB;13.1;80.23;25.25;55.35
Hong Kong - Singapore;HKG;SIN;22.3;113.94;1.34;103.98
London - Nice;LHR;NCE;51.5;-0.45;43.67;7.21
Geneva - London;GVA;LCY;46.2;6.11;51.5;0.05
London - Lusaka;LHR;LUN;-1.3;36.81;-15.33;28.45
Newark - Phoenix;EWR;PHX;40.7;-74.18;33.44;-112.03
Johannesburg - Manchester;JNB;MAN;25.3;55.35;53.37;0.1
Edinburgh - London;LHR;EDI;51.5;-0.45;55.96;-3.34
Hong Kong - Shanghai;PVG;HKG;31.1;121.8;22.32;113.94
Abu Dhabi - London;AUH;LHR;25.3;51.56;51.47;-0.45
London - Vienna;LHR;VIE;51.5;-0.45;48.2;16.37
Delhi - Dubai;DXB;DEL;25.3;55.35;28.66;77.26
Los Angeles - San Francisco;SFO;LAX;37.6;-122.39;34.05;-118.24
Beijing - Hong Kong;HKG;PEK;22.3;113.94;40.07;116.58
Dar Es Salaam - London;LHR;DAR;51.5;-0.45;-6.88;39.2
London - Zurich;ZRH;LCY;47.5;8.57;51.5;0.05
Denver - London;LHR;DEN;51.5;-0.45;39.77;-104.86
London - Seattle;LHR;SEA;51.5;-0.45;39.9;-75.59
Dublin - London;LCY;DUB;51.5;0.05;53.34;-6.25
Dubai - Mahe Island;DXB;SEZ;25.3;55.35;-4.68;55.52
Sydney - Tokyo;NRT;SYD;35.8;140.39;-33.92;151.23
London - Mexico City;LHR;MEX;51.5;-0.45;19.43;-99.16
New York - Paris;CDG;JFK;49;2.54;40.64;-73.79
Hong Kong - Taipei;HKG;TPE;22.3;113.94;25.08;121.24
London - Moscow;SVO;LHR;56;37.42;51.47;-0.45
Madrid - New York;JFK;MAD;40.6;-73.79;40.46;-3.58
Johannesburg - London;JNB;LHR;-26.1;28.23;51.47;-0.45
Bombay - Singapore;BOM;SIN;19.1;72.86;1.34;103.98
Los Angeles - Newark;EWR;LAX;40.7;-74.18;34.05;-118.24
Dallas - Newark;DFW;EWR;32.9;-97.04;40.69;-74.18
Manchester - Manila;MAN;MNL;25.3;55.35;14.51;121.02
London - Stockholm;ARN;LCY;60.7;15.85;51.5;0.05
Hong Kong - Tokyo;HKG;HND;22.3;113.94;35.55;139.75
Bombay - New York;BOM;JFK;51.5;-0.45;40.64;-73.79
Singapore - Tokyo;NRT;SIN;35.8;140.39;1.34;103.98
Manchester - Singapore;SIN;MAN;1.3;103.98;53.37;0.1
Boston - San Francisco;BOS;SFO;42.2;-71;37.61;-122.39
Chicago - Newark;EWR;ORD;40.7;-74.18;41.6;-98.93
London - Paris;CDG;LHR;49;2.54;51.47;-0.45
Entebbe/kampala - London;EBB;LHR;-1.3;36.81;51.47;-0.45
Nice - Paris;ORY;NCE;48.7;2.37;43.67;7.21
Singapore - Sydney;SIN;SYD;1.3;103.98;-33.92;151.23
Hong Kong - New York;HKG;JFK;22.3;113.94;40.64;-73.79
London - San Francisco;SFO;LHR;37.6;-122.39;51.47;-0.45
Dusseldorf - London;LHR;DUS;51.5;-0.45;51.28;6.78
Dar Es Salaam - Kilimanjaro;DAR;JRO;-6.9;39.2;-3.43;37.07
Dubai - Glasgow;DXB;GLA;25.3;55.35;55.86;-4.43
Frankfurt - Hamburg;FRA;HAM;50.1;8.56;53.64;10.01
Newark - Singapore;SIN;EWR;1.3;103.98;40.69;-74.18
Lima - New York;LIM;JFK;-12;-77.11;40.64;-73.79
Denver - New York;DEN;LGA;39.8;-104.86;40.77;-73.88
London - Rotterdam;RTM;LCY;52;4.43;51.5;0.05
Hong Kong - Tokyo;HND;HKG;35.6;139.75;22.32;113.94
Gaborone - Johannesburg;GBE;JNB;-24.6;25.93;-26.13;28.23
Entebbe/kampala - Johannesburg;JNB;EBB;-26.1;28.23;0.04;32.44
New York - Singapore;SIN;JFK;25.3;55.35;40.64;-73.79
Bombay - Johannesburg;JNB;BOM;-26.1;28.23;19.09;72.86
Frankfurt - Munich;FRA;MUC;50.1;8.56;48.34;11.77
Frankfurt - Johannesburg;JNB;FRA;-26.1;28.23;50.05;8.56
Las Vegas - Newark;EWR;LAS;40.7;-74.18;32.02;-87.96
Dubai - London;DXB;LGW;25.3;55.35;51.16;-0.16
Bombay - Delhi;DEL;BOM;28.7;77.26;19.09;72.86
Geneva - Newark;GVA;EWR;46.2;6.11;40.69;-74.18
Milan - New York;MXP;JFK;45.5;9.18;40.64;-73.79
Dubai - Geneva;DXB;GVA;25.3;55.35;46.23;6.11
Isle Of Man - London;IOM;LCY;54.1;-4.63;51.5;0.05
Hong Kong - Jakarta;HKG;CGK;22.3;113.94;-6.13;106.66
Cairo - Johannesburg;JNB;CAI;25.3;55.35;30.05;31.25
Johannesburg - Paris;JNB;CDG;-26.1;28.23;49.01;2.54
London - Manchester;MAN;LHR;53.4;0.1;51.47;-0.45
Arusha - Dar Es Salaam;DAR;ARK;-6.9;39.2;-3.37;36.67
London - Sao Paulo;GRU;LHR;-23.4;-46.48;51.47;-0.45
London - Sao Paulo;GRU;LHR;-23.4;-46.48;51.47;-0.45
Madras - Singapore;SIN;MAA;1.3;103.98;13.05;80.23
Bombay - Dubai;BOM;DXB;19.1;72.86;25.25;55.35
London - Vancouver;LHR;YVR;51.5;-0.45;49.19;-123.17
Frankfurt - Riyadh;FRA;RUH;50.1;8.56;24.94;46.71
Delhi - Dubai;DXB;DEL;25.3;55.35;28.66;77.26
London - Miami;LHR;MIA;51.5;-0.45;33.4;-110.87
Bahrain - London;LHR;BAH;51.5;-0.45;26.27;50.63
Bombay - Singapore;BOM;SIN;19.1;72.86;1.34;103.98
Philadelphia - San Francisco;PHL;SFO;45.1;-89.01;37.61;-122.39
London - Shanghai;PVG;LHR;31.1;121.8;51.47;-0.45
Berlin - Frankfurt;FRA;TXL;50.1;8.56;52.55;13.29
Bombay - Singapore;BOM;SIN;19.1;72.86;1.34;103.98
Lisbon - London;LHR;LIS;51.5;-0.45;38.77;-9.13
Boston - New York;BOS;LGA;42.2;-71;40.77;-73.88
Montreal - New York;LGA;YUL;40.8;-73.88;45.46;-73.75
Hong Kong - Sydney;SYD;HKG;-33.9;151.23;22.32;113.94
Singapore - Tokyo;SIN;HND;1.3;103.98;35.55;139.75
Hong Kong - Tokyo;HND;HKG;35.6;139.75;22.32;113.94
Barcelona - London;BCN;LHR;41.3;2.08;51.47;-0.45
Denver - Newark;EWR;DEN;40.7;-74.18;39.77;-104.86
London - Washington Dc;IAD;LHR;39;-77.45;51.47;-0.45
New York - Zurich;ZRH;JFK;47.5;8.57;40.64;-73.79
Singapore - Tokyo;NRT;SIN;35.8;140.39;1.34;103.98
Singapore - Sydney;SIN;SYD;1.3;103.98;-33.92;151.23
Singapore - Tokyo;HND;SIN;35.6;139.75;1.34;103.98
Hong Kong - Johannesburg;JNB;HKG;-26.1;28.23;22.32;113.94
Dubai - Singapore;SIN;DXB;1.3;103.98;25.25;55.35
London - Rio De Janeiro;GIG;LHR;-22.8;-43.24;51.47;-0.45
Las Vegas - London;LAS;LHR;32;-87.96;51.47;-0.45
Newark - Seattle;EWR;SEA;40.7;-74.18;39.9;-75.59
New York - San Diego;SAN;JFK;32.7;-102.18;40.64;-73.79
London - Madras;MAA;LGW;25.3;55.35;51.16;-0.16
Singapore - Tokyo;SIN;HND;1.3;103.98;35.55;139.75
Hong Kong - Newark;EWR;HKG;40.7;-74.18;22.32;113.94
Singapore - Tokyo;SIN;HND;1.3;103.98;35.55;139.75
Frankfurt - London;FRA;LHR;50.1;8.56;51.47;-0.45
London - Mauritius;MRU;LGW;-20.4;57.68;51.16;-0.16
London - Phoenix;LHR;PHX;51.5;-0.45;33.44;-112.03
Johannesburg - Lagos;JNB;LOS;-26.1;28.23;6.58;3.32
Newark - Santa Ana;EWR;SNA;40.7;-74.18;37.41;-86.16
Austin - Newark;EWR;AUS;40.7;-74.18;30.2;-97.67
Frankfurt - Newark;EWR;FRA;40.7;-74.18;50.05;8.56
Berlin - London;LHR;TXL;51.5;-0.45;52.55;13.29
London - Paris;ORY;LCY;48.7;2.37;51.5;0.05
Melbourne - Sydney;MEL;SYD;-37.7;144.85;-33.92;151.23
Cairo - Dubai;DXB;CAI;25.3;55.35;30.05;31.25
Hong Kong - Tokyo;HND;HKG;35.6;139.75;22.32;113.94
Memphis - New York;LGA;MEM;40.8;-73.88;33.13;-88.31
Seoul - Singapore;ICN;SIN;37.5;126.66;1.34;103.98
Bangkok - London;BKK;LHR;13.7;100.77;51.47;-0.45
Birmingham - Madras;BHX;MAA;25.3;55.35;13.05;80.23
Mexico City - Sao Paulo;MEX;GRU;19.4;-99.16;-23.42;-46.48
London - Prague;PRG;LHR;50.1;14.43;51.47;-0.45
Cape Town - Lanseria;HLA;CPT;-25.9;27.92;-33.97;18.59
Dallas - London;LHR;DFW;51.5;-0.45;32.87;-97.04
Newark - Tokyo;NRT;EWR;35.8;140.39;40.69;-74.18
Atlanta - Newark;EWR;ATL;40.7;-74.18;42.94;-83.53
Johannesburg - Washington Dc;IAD;JNB;39;-77.45;-26.13;28.23
Guernsey -channel Isl. - London;LGW;GCI;51.2;-0.16;49.43;-2.6
Harare - Johannesburg;JNB;HRE;-26.1;28.23;-17.92;31.1
London - Sydney;LHR;SYD;51.5;-0.45;-33.92;151.23
London - Luxembourg;LCY;LUX;51.5;0.05;49.63;6.21
Newark - Tel Aviv;EWR;TLV;40.7;-74.18;32.01;34.89
Jakarta-soekarno - Singapore;SIN;CGK;1.3;103.98;-6.13;106.66
Cairo - Dubai;DXB;CAI;25.3;55.35;30.05;31.25
Bombay - Singapore;SIN;BOM;1.3;103.98;19.09;72.86
Glasgow - London;GLA;LGW;55.9;-4.43;51.16;-0.16
Delhi - London;DEL;LHR;28.7;77.26;51.47;-0.45
Bombay - London;LHR;BOM;51.5;-0.45;19.09;72.86
Hong Kong - San Francisco;SFO;HKG;37.6;-122.39;22.32;113.94
New York - Tokyo;NRT;JFK;35.8;140.39;40.64;-73.79
London - Milan;LIN;LHR;45.5;9.18;51.47;-0.45
Dar Es Salaam - Johannesburg;DAR;JNB;-6.9;39.2;-26.13;28.23
New York - Phoenix;JFK;PHX;40.6;-73.79;33.44;-112.03
Hamburg - London;HAM;LHR;53.6;10.01;51.47;-0.45
Kansas City - New York;LGA;MCI;40.8;-73.88;39.3;-94.72
Glasgow - Isle Of Man;IOM;GLA;54.1;-4.63;55.86;-4.43
Hong Kong - Tokyo;NRT;HKG;35.8;140.39;22.32;113.94
New York - Raleigh/durham;RDU;LGA;35.9;-78.79;40.77;-73.88
Singapore - Sydney;SIN;SYD;1.3;103.98;-33.92;151.23
New York - Seattle;JFK;SEA;40.6;-73.79;39.9;-75.59
Hong Kong - Tokyo;HKG;NRT;22.3;113.94;35.75;140.39
Bombay - Dubai;DXB;BOM;25.3;55.35;19.09;72.86
Doha - Dubai;DXB;DOH;25.3;55.35;25.27;51.56
Hong Kong - Seoul;HKG;ICN;22.3;113.94;37.45;126.66
Dubai - Mauritius;DXB;MRU;25.3;55.35;-20.43;57.68
Larnaca - London;LHR;LCA;51.5;-0.45;34.88;33.63
Mexico City - Newark;EWR;MEX;40.7;-74.18;19.43;-99.16
Delhi - Dubai;DEL;DXB;28.7;77.26;25.25;55.35
Buenos Aires - New York;JFK;EZE;40.6;-73.79;-34.81;-58.54
Frankfurt - Vienna;VIE;FRA;48.2;16.37;50.05;8.56
Mexico City - Sao Paulo;GRU;MEX;-23.4;-46.48;19.43;-99.16
Hong Kong - Tokyo;HKG;HND;22.3;113.94;35.55;139.75
Newark - San Diego;EWR;SAN;40.7;-74.18;32.7;-102.18
Cairo - Dubai;DXB;CAI;25.3;55.35;30.05;31.25
Cairo - Mauritius;CAI;MRU;-26.1;28.23;-20.43;57.68
Amsterdam - London;AMS;LCY;52.3;4.75;51.5;0.05
Delhi - Singapore;SIN;DEL;1.3;103.98;28.66;77.26
Cairo - London;CAI;LHR;30.1;31.25;51.47;-0.45
Newark - Toronto;EWR;YYZ;40.7;-74.18;43.68;-79.61
Hong Kong - London;HKG;LHR;22.3;113.94;51.47;-0.45
Cape Town - Port Elizabeth;CPT;PLZ;-34;18.59;-33.98;25.61
Hong Kong - Tokyo;HKG;HND;22.3;113.94;35.55;139.75
New York - Seoul;ICN;JFK;37.5;126.66;40.64;-73.79
Delhi - Newark;EWR;DEL;51.5;-0.45;28.66;77.26
Singapore - Tokyo;SIN;NRT;1.3;103.98;35.75;140.39
Toronto - Vancouver;YYZ;YVR;43.7;-79.61;49.19;-123.17
Isle Of Man - Manchester;IOM;MAN;54.1;-4.63;53.37;0.1
Cleveland - New York;LGA;CLE;40.8;-73.88;45.46;-120.2
Delhi - Dubai;DEL;DXB;28.7;77.26;25.25;55.35
London - Moscow;DME;LHR;55.4;37.9;51.47;-0.45
Hong Kong - San Francisco;SFO;HKG;37.6;-122.39;22.32;113.94
Hong Kong - New York;HKG;JFK;22.3;113.94;40.64;-73.79
Delhi - Madras;MAA;DEL;13.1;80.23;28.66;77.26
Cape Town - Johannesburg;CPT;JNB;-34;18.59;-26.13;28.23
Frankfurt - Zurich;ZRH;FRA;47.5;8.57;50.05;8.56
Alma Ata - London;ALA;LHR;43.4;77.03;51.47;-0.45
Rio De Janeiro - Sao Paulo;CGH;SDU;-23.6;-46.66;-22.91;-43.17
Calgary - Toronto;YYC;YYZ;51.1;-114.01;43.68;-79.61
Johannesburg - Zurich;ZRH;JNB;47.5;8.57;-26.13;28.23
Jersey-channel Islands - London;LCY;JER;51.5;0.05;49.21;-2.19
Delhi - London;LHR;DEL;51.5;-0.45;28.66;77.26
Brussels - London;LHR;BRU;51.5;-0.45;50.89;4.48
Charlotte - New York;CLT;LGA;35.2;-80.95;40.77;-73.88
Delhi - Manchester;MAN;DEL;51.5;-0.45;28.66;77.26
Frankfurt - Zurich;ZRH;FRA;47.5;8.57;50.05;8.56
Hong Kong - Tokyo;NRT;HKG;35.8;140.39;22.32;113.94
Guernsey -channel Isl. - Jersey;GCI;JER;49.4;-2.6;49.21;-2.19
London - Mauritius;LHR;MRU;51.5;-0.45;-20.43;57.68
Buenos Aires - London;LHR;EZE;51.5;-0.45;-34.81;-58.54
Bombay - London;LGW;BOM;25.3;55.35;19.09;72.86
Hong Kong - Sydney;SYD;HKG;-33.9;151.23;22.32;113.94
Boston - Tokyo;NRT;BOS;35.8;140.39;42.21;-71
Glasgow - Newark;EWR;GLA;40.7;-74.18;55.86;-4.43
Madras - Singapore;SIN;MAA;1.3;103.98;13.05;80.23
Atlanta - London;LHR;ATL;51.5;-0.45;42.94;-83.53
New York - Tokyo;HND;JFK;35.6;139.75;40.64;-73.79
Dubai - Madrid;DXB;MAD;51.5;-0.45;40.46;-3.58
London - Manila;MNL;LHR;1.3;103.98;51.47;-0.45
Beijing - Hong Kong;PEK;HKG;40.1;116.58;22.32;113.94
Beirut - London;BEY;LHR;33.8;35.49;51.47;-0.45
Jakarta-soekarno - Singapore;CGK;SIN;-6.1;106.66;1.34;103.98
London - Orlando;LGW;MCO;51.2;-0.16;28.44;-81.31
Newark - Zurich;ZRH;EWR;47.5;8.57;40.69;-74.18
Brussels - New York;JFK;BRU;40.6;-73.79;50.89;4.48
Minneapolis - Newark;EWR;MSP;40.7;-74.18;44.88;-93.2
Madras - New York;JFK;MAA;40.6;-73.79;13.05;80.23
Bangalore - London;LHR;BLR;51.5;-0.45;12.8;77.65
New York - Pittsburgh;LGA;PIT;40.8;-73.88;48.72;-94.74
Buenos Aires - Miami;EZE;MIA;-34.8;-58.54;33.4;-110.87
Bogota - New York;BOG;JFK;4.7;-74.14;40.64;-73.79
Frankfurt - Singapore;FRA;SIN;50.1;8.56;1.34;103.98
Cape Town - Durban;DUR;CPT;-30;30.95;-33.97;18.59
Lima - New York;LIM;JFK;-12;-77.11;40.64;-73.79
New York - Sydney;JFK;SYD;34.1;-118.24;-33.92;151.23
London - New York;LHR;JFK;51.5;-0.45;40.64;-73.79
Beijing - Hong Kong;HKG;PEK;22.3;113.94;40.07;116.58
Chicago - San Francisco;ORD;SFO;41.6;-98.93;37.61;-122.39
San Francisco - Tokyo;HND;SFO;35.6;139.75;37.61;-122.39
Indianapolis - New York;IND;LGA;39.7;-86.3;40.77;-73.88
